match_id,date,home_team,away_team,competition,home_goals,away_goals,neutral_site
1,2000-01-04,Egypt,Togo,Friendly,2.0,1.0,False
2,2000-01-07,Tunisia,Togo,Friendly,7.0,0.0,False
3,2000-01-08,Trinidad and Tobago,Canada,Friendly,0.0,0.0,False
4,2000-01-09,Ivory Coast,Egypt,Friendly,2.0,0.0,False
5,2000-01-09,Mexico,Iran,Friendly,2.0,1.0,True
6,2000-01-09,Burkina Faso,Gabon,Friendly,1.0,1.0,False
7,2000-01-09,Guatemala,Armenia,Friendly,1.0,1.0,True
8,2000-01-11,Bermuda,Canada,Friendly,0.0,2.0,False
9,2000-01-11,Burkina Faso,Cameroon,Friendly,2.0,2.0,False
10,2000-01-13,Senegal,Cameroon,Friendly,0.0,0.0,False
11,2000-01-14,China,New Zealand,Friendly,1.0,0.0,False
12,2000-01-16,Jamaica,New Zealand,Friendly,2.0,1.0,True
13,2000-01-16,United States,Iran,Friendly,1.0,1.0,False
14,2000-01-18,Ghana,Tunisia,Friendly,2.0,0.0,False
15,2000-01-18,Morocco,Trinidad and Tobago,Friendly,1.0,0.0,False
16,2000-01-19,Panama,Guatemala,Friendly,2.0,0.0,False
17,2000-01-19,Togo,Egypt,Friendly,1.0,0.0,False
18,2000-01-20,Burkina Faso,Algeria,Friendly,1.0,0.0,False
19,2000-01-20,Malta,Qatar,Friendly,2.0,0.0,False
20,2000-01-21,New Zealand,South Korea,Friendly,0.0,1.0,False
21,2000-01-22,Ghana,Cameroon,African Cup of Nations,1.0,1.0,False
22,2000-01-23,China,Philippines,AFC Asian Cup qualification,8.0,0.0,True
23,2000-01-23,Egypt,Zambia,African Cup of Nations,2.0,0.0,True
24,2000-01-23,New Zealand,South Korea,Friendly,0.0,0.0,False
25,2000-01-23,Nigeria,Tunisia,African Cup of Nations,4.0,2.0,False
26,2000-01-23,South Africa,Gabon,African Cup of Nations,3.0,1.0,True
27,2000-01-23,Vietnam,Guam,AFC Asian Cup qualification,11.0,0.0,False
28,2000-01-24,Ivory Coast,Togo,African Cup of Nations,1.0,1.0,True
29,2000-01-24,Qatar,Bosnia and Herzegovina,Friendly,2.0,0.0,False
30,2000-01-24,DR Congo,Algeria,African Cup of Nations,0.0,0.0,True
31,2000-01-25,Burkina Faso,Senegal,African Cup of Nations,1.0,3.0,True
32,2000-01-25,Morocco,Congo,African Cup of Nations,1.0,0.0,True
33,2000-01-26,China,Guam,AFC Asian Cup qualification,19.0,0.0,True
34,2000-01-26,Costa Rica,Trinidad and Tobago,Friendly,2.0,1.0,False
35,2000-01-26,Guatemala,Panama,Friendly,1.0,1.0,False
36,2000-01-26,Spain,Poland,Friendly,3.0,0.0,False
37,2000-01-26,Uganda,Libya,Friendly,3.0,2.0,False
38,2000-01-26,Vietnam,Philippines,AFC Asian Cup qualification,3.0,0.0,False
39,2000-01-27,Ghana,Togo,African Cup of Nations,2.0,0.0,False
40,2000-01-27,South Africa,DR Congo,African Cup of Nations,1.0,0.0,True
41,2000-01-28,Cameroon,Ivory Coast,African Cup of Nations,3.0,0.0,True
42,2000-01-28,Egypt,Senegal,African Cup of Nations,1.0,0.0,True
43,2000-01-28,Nigeria,Congo,African Cup of Nations,0.0,0.0,False
44,2000-01-28,United States Virgin Islands,Saint Lucia,Friendly,0.0,9.0,False
45,2000-01-29,Algeria,Gabon,African Cup of Nations,3.0,1.0,True
46,2000-01-29,Chile,United States,Friendly,1.0,2.0,False
47,2000-01-29,Philippines,Guam,AFC Asian Cup qualification,2.0,0.0,True
48,2000-01-29,Tunisia,Morocco,African Cup of Nations,0.0,0.0,True
49,2000-01-29,Vietnam,China,AFC Asian Cup qualification,0.0,2.0,False
50,2000-01-29,Zambia,Burkina Faso,African Cup of Nations,1.0,1.0,True
51,2000-01-30,United States Virgin Islands,Saint Lucia,Friendly,0.0,2.0,False
52,2000-01-31,Ghana,Ivory Coast,African Cup of Nations,0.0,2.0,False
53,2000-01-31,Cameroon,Togo,African Cup of Nations,0.0,1.0,True
54,2000-01-31,Iceland,Norway,Nordic Championship,0.0,0.0,True
55,2000-01-31,Kuwait,Syria,Friendly,4.0,0.0,False
56,2000-01-31,Faroe Islands,Finland,Nordic Championship,0.0,1.0,True
57,2000-02-01,Zambia,Senegal,African Cup of Nations,2.0,2.0,True
58,2000-02-01,British Virgin Islands,Saint Lucia,Friendly,2.0,3.0,False
59,2000-02-01,Egypt,Burkina Faso,African Cup of Nations,4.0,2.0,True
60,2000-02-02,Armenia,Moldova,Cyprus International Tournament,2.0,1.0,True
61,2000-02-02,DR Congo,Gabon,African Cup of Nations,0.0,0.0,True
62,2000-02-02,South Africa,Algeria,African Cup of Nations,1.0,1.0,True
63,2000-02-02,Saint Kitts and Nevis,Saint Lucia,Friendly,0.0,1.0,False
64,2000-02-02,Finland,Iceland,Nordic Championship,0.0,1.0,True
