match_id,date,home_team,away_team,competition,neutral_site,home_elo_before,away_elo_before,home_form_before,away_form_before,home_goals,away_goals,result
0,2000-01-04,Egypt,Togo,Friendly,False,1500.0,1500.0,0.5,0.5,2.0,1.0,home_win
1,2000-01-07,Tunisia,Togo,Friendly,False,1500.0,1490.8613298404443,0.5,0.0,7.0,0.0,home_win
2,2000-01-08,Trinidad and Tobago,Canada,Friendly,False,1500.0,1500.0,0.5,0.5,0.0,0.0,draw
3,2000-01-09,Ivory Coast,Egypt,Friendly,False,1500.0,1509.1386701595557,0.5,1.0,2.0,0.0,home_win
4,2000-01-09,Mexico,Iran,Friendly,True,1500.0,1500.0,0.5,0.5,2.0,1.0,home_win
5,2000-01-09,Burkina Faso,Gabon,Friendly,False,1500.0,1500.0,0.5,0.5,1.0,1.0,draw
6,2000-01-09,Guatemala,Armenia,Friendly,True,1500.0,1500.0,0.5,0.5,1.0,1.0,draw
7,2000-01-11,Bermuda,Canada,Friendly,False,1500.0,1500.8613298404443,0.5,0.333,0.0,2.0,away_win
8,2000-01-11,Burkina Faso,Cameroon,Friendly,False,1499.1386701595557,1500.0,0.333,0.5,2.0,2.0,draw
9,2000-01-13,Senegal,Cameroon,Friendly,False,1500.0,1500.8367174918994,0.5,0.333,0.0,0.0,draw
10,2000-01-14,China,New Zealand,Friendly,False,1500.0,1500.0,0.5,0.5,1.0,0.0,home_win
11,2000-01-16,United States,Iran,Friendly,False,1500.0,1490.0,0.5,0.0,1.0,1.0,draw
12,2000-01-16,Jamaica,New Zealand,Friendly,True,1500.0,1490.8613298404443,0.5,0.0,2.0,1.0,home_win
13,2000-01-18,Ghana,Tunisia,Friendly,False,1500.0,1517.7564791542313,0.5,1.0,2.0,0.0,home_win
14,2000-01-18,Morocco,Trinidad and Tobago,Friendly,False,1500.0,1499.1386701595557,0.5,0.333,1.0,0.0,home_win
15,2000-01-19,Panama,Guatemala,Friendly,False,1500.0,1500.0,0.5,0.333,2.0,0.0,home_win
16,2000-01-19,Togo,Egypt,Friendly,False,1473.104850686213,1496.9183020026535,0.0,0.5,1.0,0.0,home_win
17,2000-01-20,Burkina Faso,Algeria,Friendly,False,1498.3019526676562,1500.0,0.333,0.5,1.0,0.0,home_win
18,2000-01-20,Malta,Qatar,Friendly,False,1500.0,1500.0,0.5,0.5,2.0,0.0,home_win
19,2000-01-21,New Zealand,South Korea,Friendly,False,1481.1243012678742,1500.0,0.0,0.5,0.0,1.0,away_win
20,2000-01-22,Ghana,Cameroon,African Cup of Nations,False,1512.5420736262004,1501.6741384204804,1.0,0.333,1.0,1.0,draw
21,2000-01-23,Vietnam,Guam,AFC Asian Cup qualification,False,1500.0,1500.0,0.5,0.5,11.0,0.0,home_win
22,2000-01-23,South Africa,Gabon,African Cup of Nations,True,1500.0,1500.8613298404443,0.5,0.333,3.0,1.0,home_win
23,2000-01-23,Nigeria,Tunisia,African Cup of Nations,False,1500.0,1505.214405528031,0.5,0.5,4.0,2.0,home_win
24,2000-01-23,Egypt,Zambia,African Cup of Nations,True,1487.0963463705382,1500.0,0.333,0.5,2.0,0.0,home_win
25,2000-01-23,China,Philippines,AFC Asian Cup qualification,True,1509.1386701595557,1500.0,1.0,0.5,8.0,0.0,home_win
26,2000-01-23,New Zealand,South Korea,Friendly,False,1470.8042275089556,1510.3200737589186,0.0,1.0,0.0,0.0,draw
27,2000-01-24,Ivory Coast,Togo,African Cup of Nations,True,1512.2203681569022,1482.9268063183283,1.0,0.333,1.0,1.0,draw
28,2000-01-24,Qatar,Bosnia and Herzegovina,Friendly,False,1488.1197287925775,1500.0,0.0,0.5,2.0,0.0,home_win
29,2000-01-24,DR Congo,Algeria,African Cup of Nations,True,1500.0,1490.8127986549187,0.5,0.0,0.0,0.0,draw
30,2000-01-25,Burkina Faso,Senegal,African Cup of Nations,True,1507.4891540127376,1499.162579071419,0.556,0.333,1.0,3.0,away_win
31,2000-01-25,Morocco,Congo,African Cup of Nations,True,1509.114068319835,1500.0,1.0,0.5,1.0,0.0,home_win
32,2000-01-26,Spain,Poland,Friendly,False,1500.0,1500.0,0.5,0.5,3.0,0.0,home_win
33,2000-01-26,Vietnam,Philippines,AFC Asian Cup qualification,False,1527.4160104786672,1470.7889142822896,1.0,0.0,3.0,0.0,home_win
34,2000-01-26,Uganda,Libya,Friendly,False,1500.0,1500.0,0.5,0.5,3.0,2.0,home_win
35,2000-01-26,Guatemala,Panama,Friendly,False,1488.1197287925775,1511.8802712074225,0.167,1.0,1.0,1.0,draw
36,2000-01-26,Costa Rica,Trinidad and Tobago,Friendly,False,1500.0,1490.0246018397206,0.5,0.167,2.0,1.0,home_win
37,2000-01-26,China,Guam,AFC Asian Cup qualification,True,1538.349755877266,1472.5839895213328,1.0,0.0,19.0,0.0,home_win
38,2000-01-27,Ghana,Togo,African Cup of Nations,False,1510.2003165561268,1484.6090948305177,0.667,0.333,2.0,0.0,home_win
39,2000-01-27,South Africa,DR Congo,African Cup of Nations,True,1526.0644566386002,1499.4712654077452,1.0,0.333,1.0,0.0,home_win
40,2000-01-28,Cameroon,Ivory Coast,African Cup of Nations,True,1504.015895490554,1510.5380796447128,0.333,0.667,3.0,0.0,home_win
41,2000-01-28,Egypt,Senegal,African Cup of Nations,True,1514.0615348473996,1525.7855708405393,0.5,0.667,1.0,0.0,home_win
42,2000-01-28,Nigeria,Congo,African Cup of Nations,False,1524.1483345426977,1480.5245276358473,1.0,0.0,0.0,0.0,draw
43,2000-01-28,United States Virgin Islands,Saint Lucia,Friendly,False,1500.0,1500.0,0.5,0.5,0.0,9.0,away_win
44,2000-01-29,Vietnam,China,AFC Asian Cup qualification,False,1545.5530167345057,1562.7379479411836,1.0,1.0,0.0,2.0,away_win
45,2000-01-29,Tunisia,Morocco,African Cup of Nations,True,1481.0660709853332,1528.5895406839877,0.333,1.0,0.0,0.0,draw
46,2000-01-29,Zambia,Burkina Faso,African Cup of Nations,True,1473.0348115231386,1480.8661622436173,0.0,0.417,1.0,1.0,draw
47,2000-01-29,Chile,United States,Friendly,False,1500.0,1498.8537673247542,0.5,0.333,1.0,2.0,away_win
48,2000-01-29,Philippines,Guam,AFC Asian Cup qualification,True,1452.651908026451,1448.1957974574152,0.0,0.0,2.0,0.0,home_win
49,2000-01-29,Algeria,Gabon,African Cup of Nations,True,1491.3415332471734,1474.7968732018442,0.167,0.167,3.0,1.0,home_win
50,2000-01-30,United States Virgin Islands,Saint Lucia,Friendly,False,1478.2773403191115,1521.7226596808885,0.0,1.0,0.0,2.0,away_win
51,2000-01-31,Ghana,Ivory Coast,African Cup of Nations,False,1532.0753439730543,1477.937434838776,0.778,0.444,0.0,2.0,away_win
52,2000-01-31,Cameroon,Togo,African Cup of Nations,True,1536.6165402964907,1462.7340674135903,0.5,0.267,0.0,1.0,away_win
53,2000-01-31,Iceland,Norway,Nordic Championship,True,1500.0,1500.0,0.5,0.5,0.0,0.0,draw
54,2000-01-31,Kuwait,Syria,Friendly,False,1500.0,1500.0,0.5,0.5,4.0,0.0,home_win
55,2000-01-31,Faroe Islands,Finland,Nordic Championship,True,1500.0,1500.0,0.5,0.5,0.0,1.0,away_win
56,2000-02-01,Egypt,Burkina Faso,African Cup of Nations,True,1534.7361685631947,1480.4154297901139,0.6,0.4,4.0,2.0,home_win
57,2000-02-01,Zambia,Senegal,African Cup of Nations,True,1473.485543976642,1505.1109371247442,0.167,0.444,2.0,2.0,draw
58,2000-02-01,British Virgin Islands,Saint Lucia,Friendly,False,1500.0,1534.2198270497079,0.5,1.0,2.0,3.0,away_win
59,2000-02-02,Cyprus,Lithuania,Cyprus International Tournament,False,1500.0,1500.0,0.5,0.5,2.0,1.0,home_win
60,2000-02-02,Costa Rica,Chile,Friendly,False,1508.854466124953,1489.105933110932,1.0,0.0,1.0,0.0,home_win
61,2000-02-02,Romania,Latvia,Cyprus International Tournament,True,1500.0,1500.0,0.5,0.5,2.0,0.0,home_win
62,2000-02-02,Finland,Iceland,Nordic Championship,True,1510.0,1500.0,1.0,0.333,0.0,1.0,away_win
63,2000-02-02,Armenia,Moldova,Cyprus International Tournament,True,1500.0,1500.0,0.333,0.5,2.0,1.0,home_win
64,2000-02-02,South Africa,Algeria,African Cup of Nations,True,1544.536611997686,1516.1043648949124,1.0,0.444,1.0,1.0,draw
